% (Hf),% (Ti),% (Zr),BFactor
1e-08,1e-08,99.99999998,0.02813074666216474
1e-08,1.00000000989999,98.99999998010001,0.028537475590940446
1e-08,2.00000000979998,97.99999998020002,0.02890371529016473
1e-08,3.0000000096999697,96.99999998030003,0.029234669076153554
1e-08,4.00000000959996,95.99999998040003,0.02953465224040427
1e-08,5.000000009499949,94.99999998050005,0.029807285438226847
1e-08,6.0000000093999395,93.99999998060007,0.030055636944651097
1e-08,7.00000000929993,92.99999998070007,0.03028232947121916
1e-08,8.000000009199919,91.99999998080008,0.030489621823242528
1e-08,9.000000009099908,90.99999998090009,0.03067947231479477
1e-08,10.000000008999898,89.9999999810001,0.030853588708022694
1e-08,11.000000008899889,88.9999999811001,0.03101346803132017
1e-08,12.000000008799878,87.99999998120012,0.031160428682056127
1e-08,13.00000000869987,86.99999998130014,0.03129563656853583
1e-08,14.00000000859986,85.99999998140014,0.031420126590759954
1e-08,15.00000000849985,84.99999998150015,0.03153482043592632
1e-08,16.00000000839984,83.99999998160015,0.03164054143091889
1e-08,17.00000000829983,82.99999998170017,0.03173802702285865
1e-08,18.00000000819982,81.99999998180019,0.031827939331786285
1e-08,19.00000000809981,80.99999998190019,0.0319108741241784
1e-08,20.000000007999798,79.9999999820002,0.0319873684835939
1e-08,21.00000000789979,78.9999999821002,0.03205790739921263
1e-08,22.00000000779978,77.99999998220022,0.03212292945002508
1e-08,23.000000007699768,76.99999998230024,0.03218283172884165
1e-08,24.00000000759976,75.99999998240024,0.03223797412382966
1e-08,25.000000007499747,74.99999998250026,0.03228868305428602
1e-08,26.000000007399738,73.99999998260026,0.03233525474056354
1e-08,27.00000000729973,72.99999998270027,0.0323779580745527
1e-08,28.00000000719972,71.99999998280028,0.03241703714617344
1e-08,29.000000007099707,70.99999998290029,0.03245271347240765
1e-08,30.0000000069997,69.9999999830003,0.03248518796808917
1e-08,31.000000006899686,68.99999998310031,0.03251464269164047
1e-08,32.00000000679968,67.99999998320033,0.03254124239395149
1e-08,33.00000000669967,66.99999998330033,0.03256513589443948
1e-08,34.000000006599656,65.99999998340034,0.03258645730485131
1e-08,35.00000000649965,64.99999998350035,0.03260532711844772
1e-08,36.00000000639964,63.99999998360036,0.03262185317974321
1e-08,37.00000000629963,62.99999998370037,0.032636131547884764
1e-08,38.00000000619962,61.99999998380038,0.032648247264972015
1e-08,39.000000006099604,60.999999983900395,0.032658275039101216
1e-08,40.000000005999595,59.999999984000404,0.032666279850607605
