% (Hf),% (Ti),% (Zr),Sigma_e0
1e-08,1e-08,99.99999998,110569.38857837066
1e-08,1.00000000989999,98.99999998010001,108919.41563758436
1e-08,2.00000000979998,97.99999998020002,107343.30631573494
1e-08,3.0000000096999697,96.99999998030003,105836.81787814424
1e-08,4.00000000959996,95.99999998040003,104396.03770459523
1e-08,5.000000009499949,94.99999998050005,103017.35212320338
1e-08,6.0000000093999395,93.99999998060007,101697.41872000656
1e-08,7.00000000929993,92.99999998070007,100433.14168070733
1e-08,8.000000009199919,91.99999998080008,99221.64978455666
1e-08,9.000000009099908,90.99999998090009,98060.27672385688
1e-08,10.000000008999898,89.9999999810001,96946.54346772935
1e-08,11.000000008899889,88.9999999811001,95878.14242705064
1e-08,12.000000008799878,87.99999998120012,94852.92320996549
1e-08,13.00000000869987,86.99999998130014,93868.87978508222
1e-08,14.00000000859986,85.99999998140014,92924.13889312091
1e-08,15.00000000849985,84.99999998150015,92016.94956806258
1e-08,16.00000000839984,83.99999998160015,91145.67364626494
1e-08,17.00000000829983,82.99999998170017,90308.77715701204
1e-08,18.00000000819982,81.99999998180019,89504.82250091532
1e-08,19.00000000809981,80.99999998190019,88732.46133379114
1e-08,20.000000007999798,79.9999999820002,87990.42808336015
1e-08,21.00000000789979,78.9999999821002,87277.53403456497
1e-08,22.00000000779978,77.99999998220022,86592.66192666271
1e-08,23.000000007699768,76.99999998230024,85934.76101167756
1e-08,24.00000000759976,75.99999998240024,85302.8425294193
1e-08,25.000000007499747,74.99999998250026,84695.97555920154
1e-08,26.000000007399738,73.99999998260026,84113.28321272235
1e-08,27.00000000729973,72.99999998270027,83553.9391363755
1e-08,28.00000000719972,71.99999998280028,83017.16429461914
1e-08,29.000000007099707,70.99999998290029,82502.22400899093
1e-08,30.0000000069997,69.9999999830003,82008.42522998051
1e-08,31.000000006899686,68.99999998310031,81535.11402129421
1e-08,32.00000000679968,67.99999998320033,81081.67323810654
1e-08,33.00000000669967,66.99999998330033,80647.52038272834
1e-08,34.000000006599656,65.99999998340034,80232.10562275095
1e-08,35.00000000649965,64.99999998350035,79834.90995818307
1e-08,36.00000000639964,63.99999998360036,79455.44352539557
1e-08,37.00000000629963,62.99999998370037,79093.24402685351
1e-08,38.00000000619962,61.99999998380038,78747.87527665457
1e-08,39.000000006099604,60.999999983900395,78418.92585282994
1e-08,40.000000005999595,59.999999984000404,78106.00784820243
1e-08,41.00000000589959,58.99999998410041,77808.75571235149
1e-08,42.00000000579958,57.99999998420042,77526.82517791826
1e-08,43.00000000569957,56.99999998430043,77259.89226509638
1e-08,44.00000000559956,55.99999998440044,77007.65235871068
1e-08,45.000000005499544,54.999999984500455,76769.81935279054
1e-08,46.000000005399535,53.999999984600464,76546.12485799796
1e-08,47.000000005299526,52.99999998470047,76336.31746768738
1e-08,48.00000000519952,51.99999998480048,76140.16207875047
1e-08,49.00000000509951,50.99999998490049,75957.43926374167
1e-08,50.00000000499949,49.99999998500051,75787.94469109585
1e-08,51.00000000489948,48.999999985100516,75631.48859053466
1e-08,52.000000004799475,47.999999985200525,75487.89526102216
1e-08,53.000000004699466,46.99999998530053,75357.00261887225
