% (Hf),% (Ti),% (Zr),kappa_lattice
1e-08,1e-08,99.99999998,8.749999989578027
1e-08,1.00000000989999,98.99999998010001,8.52510305028732
1e-08,2.00000000979998,97.99999998020002,8.321854025263134
1e-08,3.0000000096999697,96.99999998030003,8.13697671906498
1e-08,4.00000000959996,95.99999998040003,7.967869455448128
1e-08,5.000000009499949,94.99999998050005,7.812434080044589
1e-08,6.0000000093999395,93.99999998060007,7.668955619152257
1e-08,7.00000000929993,92.99999998070007,7.536015651625751
1e-08,8.000000009199919,91.99999998080008,7.41242870063828
1e-08,9.000000009099908,90.99999998090009,7.297194702241945
1e-08,10.000000008999898,89.9999999810001,7.189462928440233
1e-08,11.000000008899889,88.9999999811001,7.088504218389969
1e-08,12.000000008799878,87.99999998120012,6.99368933300162
1e-08,13.00000000869987,86.99999998130014,6.904471888561845
1e-08,14.00000000859986,85.99999998140014,6.820374759849892
1e-08,15.00000000849985,84.99999998150015,6.740979143806671
1e-08,16.00000000839984,83.99999998160015,6.665915685984718
1e-08,17.00000000829983,82.99999998170017,6.594857222571254
1e-08,18.00000000819982,81.99999998180019,6.527512799597621
1e-08,19.00000000809981,80.99999998190019,6.46362271059148
1e-08,20.000000007999798,79.9999999820002,6.402954352895706
1e-08,21.00000000789979,78.9999999821002,6.345298747009055
1e-08,22.00000000779978,77.99999998220022,6.290467596663338
1e-08,23.000000007699768,76.99999998230024,6.238290792805009
1e-08,24.00000000759976,75.99999998240024,6.188614284240043
1e-08,25.000000007499747,74.99999998250026,6.141298252903353
1e-08,26.000000007399738,73.99999998260026,6.096215543601953
1e-08,27.00000000729973,72.99999998270027,6.053250307444624
1e-08,28.00000000719972,71.99999998280028,6.012296825596443
1e-08,29.000000007099707,70.99999998290029,5.973258485923489
1e-08,30.0000000069997,69.9999999830003,5.936046889852827
1e-08,31.000000006899686,68.99999998310031,5.900581070617496
1e-08,32.00000000679968,67.99999998320033,5.86678680717906
1e-08,33.00000000669967,66.99999998330033,5.834596020670135
1e-08,34.000000006599656,65.99999998340034,5.8039462422920245
1e-08,35.00000000649965,64.99999998350035,5.774780143328528
1e-08,36.00000000639964,63.99999998360036,5.74704511936712
1e-08,37.00000000629963,62.99999998370037,5.720692922009259
1e-08,38.00000000619962,61.99999998380038,5.695679332347288
1e-08,39.000000006099604,60.999999983900395,5.671963871321648
1e-08,40.000000005999595,59.999999984000404,5.649509542777915
1e-08,41.00000000589959,58.99999998410041,5.628282605641405
1e-08,42.00000000579958,57.99999998420042,5.608252372136543
1e-08,43.00000000569957,56.99999998430043,5.589391029414386
1e-08,44.00000000559956,55.99999998440044,5.571673482326806
1e-08,45.000000005499544,54.999999984500455,5.5550772154106705
1e-08,46.000000005399535,53.999999984600464,5.539582172428094
1e-08,47.000000005299526,52.99999998470047,5.525170652056849
1e-08,48.00000000519952,51.99999998480048,5.511827218544361
1e-08,49.00000000509951,50.99999998490049,5.499538626334394
1e-08,50.00000000499949,49.99999998500051,5.488293757851912
1e-08,51.00000000489948,48.999999985100516,5.478083573792681
1e-08,52.000000004799475,47.999999985200525,5.468901075413099
1e-08,53.000000004699466,46.99999998530053,5.4607412784555835
1e-08,54.00000000459946,45.99999998540054,5.45360119847845
1e-08,55.00000000449945,44.99999998550055,5.44747984748901
1e-08,56.00000000439944,43.99999998560056,5.442378241907212
1e-08,57.00000000429942,42.999999985700576,5.438299422016961
1e-08,58.000000004199414,41.999999985800585,5.4352484831957755
1e-08,59.000000004099405,40.999999985900594,5.4332326193533635
1e-08,60.000000003999396,39.9999999860006,5.432261179158789
1e-08,61.00000000389939,38.99999998610061,5.432345735797331
1e-08,62.00000000379937,37.99999998620063,5.43350017117548
1e-08,63.00000000369936,36.99999998630064,5.435740775689561
1e-08,64.00000000359935,35.99999998640065,5.439086364895297
1e-08,65.00000000349935,34.999999986500654,5.443558414667291
1e-08,66.00000000339934,33.99999998660067,5.449181216725773
1e-08,67.00000000329932,32.999999986700686,5.45598205674068
1e-08,68.00000000319932,31.999999986800688,5.463991417609777
1e-08,69.0000000030993,30.999999986900704,5.47324321095943
1e-08,70.0000000029993,29.999999987000706,5.48377504044804
1e-08,71.00000000289928,28.999999987100722,5.495628501080224
1e-08,72.00000000279927,27.999999987200738,5.508849519485893
1e-08,73.00000000269927,26.99999998730074,5.523488741009331
1e-08,74.00000000259925,25.999999987400756,5.539601970522023
1e-08,75.00000000249925,24.999999987500757,5.557250675161596
1e-08,76.00000000239923,23.999999987600773,5.576502558760383
1e-08,77.00000000229923,22.999999987700775,5.597432219628237
1e-08,78.00000000219922,21.99999998780079,5.6201219056812235
1e-08,79.0000000020992,20.999999987900807,5.64466238377168
1e-08,80.0000000019992,19.99999998800081,5.67115394361917
1e-08,81.00000000189918,18.999999988100825,5.699707561153769
1e-08,82.00000000179918,17.999999988200827,5.7304462516087895
1e-08,83.00000000169916,16.999999988300843,5.763506649665954
1e-08,84.00000000159915,15.999999988400859,5.799040862797391
1e-08,85.00000000149915,14.99999998850086,5.837218655252105
1e-08,86.00000000139913,13.999999988600877,5.878230034696403
1e-08,87.00000000129913,12.999999988700878,5.922288332431448
1e-08,88.00000000119911,11.999999988800894,5.9696338928913
1e-08,89.0000000010991,10.99999998890091,6.020538520895178
1e-08,90.0000000009991,9.999999989000912,6.075310878897999
1e-08,91.00000000089908,8.999999989100928,6.134303085576055
1e-08,92.00000000079908,7.99999998920093,6.19791884779013
1e-08,93.00000000069907,6.999999989300932,6.2666235695758505
1e-08,94.00000000059904,5.999999989400962,6.340957038257593
1e-08,95.00000000049904,4.999999989500964,6.421549510340007
1e-08,96.00000000039903,3.9999999896009797,6.509142341581751
1e-08,97.00000000029902,2.9999999897009815,6.6046147791132155
1e-08,98.00000000019902,1.9999999898009833,6.709019243886161
1e-08,99.00000000009899,0.9999999899010135,6.823628521068429
1.00000000989999,1e-08,98.99999998010001,8.001963807075231
1.00000000989999,1.00000000989999,97.99999998020002,7.829446133214246
1.00000000989999,2.00000000979998,96.99999998030003,7.670990676369382
1.00000000989999,3.0000000096999697,95.99999998040003,7.524799840695986
1.00000000989999,4.00000000959996,94.99999998050005,7.389391510822923
1.00000000989999,5.000000009499949,93.99999998060007,7.263530392561068
1.00000000989999,6.0000000093999395,92.99999998070007,7.1461769440453775
1.00000000989999,7.00000000929993,91.99999998080008,7.036448774283713
1.00000000989999,8.000000009199919,90.99999998090009,6.933591042010584
1.00000000989999,9.000000009099908,89.9999999810001,6.836953459921731
1.00000000989999,10.000000008999898,88.99999998110012,6.745972219282973
1.00000000989999,11.000000008899889,87.99999998120012,6.660155629523579
1.00000000989999,12.000000008799878,86.99999998130014,6.579072597411829
1.00000000989999,13.00000000869987,85.99999998140014,6.502343301245188
1.00000000989999,14.00000000859986,84.99999998150015,6.429631579427521
1.00000000989999,15.00000000849985,83.99999998160015,6.36063867086639
1.00000000989999,16.00000000839984,82.99999998170017,6.2950980307393385
1.00000000989999,17.00000000829983,81.99999998180019,6.232771008740017
1.00000000989999,18.00000000819982,80.99999998190019,6.173443224346917
1.00000000989999,19.00000000809981,79.9999999820002,6.116921509415113
1.00000000989999,20.000000007999798,78.9999999821002,6.063031315605117
1.00000000989999,21.00000000789979,77.99999998220022,6.011614505058984
1.00000000989999,22.00000000779978,76.99999998230024,5.962527458912423
1.00000000989999,23.000000007699768,75.99999998240024,5.915639450856037
1.00000000989999,24.00000000759976,74.99999998250026,5.870831242882268
1.00000000989999,25.000000007499747,73.99999998260026,5.827993868209012
1.00000000989999,26.000000007399738,72.99999998270027,5.787027572628435
1.00000000989999,27.00000000729973,71.99999998280029,5.7478408905455955
1.00000000989999,28.00000000719972,70.99999998290029,5.710349836016244
1.00000000989999,29.000000007099707,69.99999998300031,5.674477192372548
1.00000000989999,30.0000000069997,68.99999998310031,5.640151886698736
1.00000000989999,31.000000006899686,67.99999998320033,5.607308437608601
1.00000000989999,32.00000000679968,66.99999998330033,5.5758864665795675
1.00000000989999,33.00000000669967,65.99999998340033,5.545830264588974
1.00000000989999,34.000000006599656,64.99999998350035,5.517088407036686
1.00000000989999,35.00000000649965,63.99999998360036,5.489613410971372
1.00000000989999,36.00000000639964,62.99999998370037,5.463361429503328
1.00000000989999,37.00000000629963,61.99999998380038,5.438291979014684
1.00000000989999,38.00000000619962,60.99999998390039,5.414367695392659
1.00000000989999,39.000000006099604,59.999999984000404,5.391554116032569
1.00000000989999,40.000000005999595,58.99999998410041,5.369819484800791
1.00000000989999,41.00000000589959,57.99999998420042,5.349134577526837
1.00000000989999,42.00000000579958,56.99999998430043,5.329472545918483
1.00000000989999,43.00000000569957,55.99999998440044,5.310808778073853
1.00000000989999,44.00000000559956,54.99999998450045,5.293120774006314
1.00000000989999,45.000000005499544,53.999999984600464,5.276388034808235
1.00000000989999,46.000000005399535,52.99999998470047,5.2605919642632095
1.00000000989999,47.000000005299526,51.99999998480048,5.245715781877342
1.00000000989999,48.00000000519952,50.99999998490049,5.231744446442329
1.00000000989999,49.00000000509951,49.9999999850005,5.218664589369345
1.00000000989999,50.00000000499949,48.999999985100516,5.206464457145727
1.00000000989999,51.00000000489948,47.999999985200525,5.195133862368487
1.00000000989999,52.000000004799475,46.99999998530053,5.184664142901544
1.00000000989999,53.000000004699466,45.99999998540054,5.175048128789148
1.00000000989999,54.00000000459946,44.99999998550055,5.16628011663773
1.00000000989999,55.00000000449945,43.99999998560056,5.158355851253647
1.00000000989999,56.00000000439944,42.99999998570057,5.151272514396469
1.00000000989999,57.00000000429942,41.999999985800585,5.145028720577622
1.00000000989999,58.000000004199414,40.999999985900594,5.139624519903588
1.00000000989999,59.000000004099405,39.9999999860006,5.135061408032606
1.00000000989999,60.000000003999396,38.99999998610061,5.1313423433851195
1.00000000989999,61.00000000389939,37.99999998620062,5.128471771822176
1.00000000989999,62.00000000379937,36.99999998630064,5.126455659084072
1.00000000989999,63.00000000369936,35.99999998640065,5.125301531364928
1.00000000989999,64.00000000359935,34.999999986500654,5.125018524489293
1.00000000989999,65.00000000349935,33.999999986600656,5.125617442255966
1.00000000989999,66.00000000339934,32.99999998670067,5.127110824623996
1.00000000989999,67.00000000329932,31.999999986800688,5.129513026538492
